Video	title	url	content_label_1	content_hierarchy_1	content_label_2	content_hierarchy_2	gt_content_label_1	gt_content_hierarchy_1	gt_content_label_2	gt_content_hierarchy_2	annotated_at	annotator_id
RottenTomatoes_ZMb-qj1X1do	Sliver (9/9) Movie CLIP - Get A Life (1993) HD	https://www.youtube.com/watch?v=ZMb-qj1X1do	movies	movies			movies	movies	architecture	architecture	2025-07-28T02:06:43.791618	kaatje
Facts_jL1GsbTqzXQ	Men try Contouring For The First Time	https://www.youtube.com/watch?v=jL1GsbTqzXQ	cosmetics	lifestyle_wellbeing	sociology	socialsciences	cosmetics	lifestyle_wellbeing	fashion	lifestyle_wellbeing	2025-07-28T02:11:13.545715	kaatje
CNN_US_News_HETKsT8lAhs	Trump labels Facebook the 'enemy of the people' in interview	https://www.youtube.com/watch?v=HETKsT8lAhs	domestic-news	news	technology	tech/engineering	politics	socialsciences	domestic-news	news	2025-07-28T02:25:12.074781	kaatje
Seth_Meyers_QAQxDbZToKI	Penn Badgley Got Nauseous from You's Gory Set	https://www.youtube.com/watch?v=QAQxDbZToKI	celebrity-content	arts/culture	talkshows	tv_entertainment	talkshows	tv_entertainment	celebrity-content	arts/culture	2025-07-28T02:28:12.799371	kaatje
RealLifeLore_3W5-ZJ-TJTY	What is the LOUDEST Sound Ever Heard?	https://www.youtube.com/watch?v=3W5-ZJ-TJTY	environment	physicalsciences			physics	physicalsciences	physics	physicalsciences	2025-07-28T02:33:42.420278	kaatje
BRAINY_DOSE_Z8d2o4Bg94E	10 Warning Signs Your Body Is Deficient in Nutrients	https://www.youtube.com/watch?v=Z8d2o4Bg94E	food	lifestyle_wellbeing	biology	lifesciences	nutrition	lifestyle_wellbeing	medicine	lifesciences	2025-07-28T02:54:34.710047	kaatje
Hacksmith_Industries_mrn_FvlD45o	Laser Cannons and Rocket Hammers and more! (Hacksmith Vault #3)	https://www.youtube.com/watch?v=mrn_FvlD45o	gaming	gaming	technology	tech/engineering	gaming	gaming	engineering	tech/engineering	2025-07-28T02:58:51.865734	kaatje
ColdFusion_TAKmlNaFNOo	Robot Hand Unexpectedly Learns Human Behaviour! - Open AI	https://www.youtube.com/watch?v=TAKmlNaFNOo	technology	tech/engineering	engineering	tech/engineering	engineering	tech/engineering	computersci	tech/engineering	2025-07-28T03:02:08.208031	kaatje
Max_Lugavere_CONpz0KgxdQ	How To Create A Fat Burning Metabolism with Mark Sisson	https://www.youtube.com/watch?v=CONpz0KgxdQ	fitness	lifestyle_wellbeing	vlog	personal_vlogs	fitness	lifestyle_wellbeing	nutrition	lifestyle_wellbeing	2025-07-28T10:35:41.549854	kaatje
Math_and_Science_y1FMCDTAQok	Lesson 3 - Sinusoidal Sources, Part 2 (AC Circuit Analysis)	https://www.youtube.com/watch?v=y1FMCDTAQok	math	math/logic	physics	physicalsciences	engineering	tech/engineering	physics	physicalsciences	2025-07-29T00:16:16.277158	kaatje
National_Geographic__ermvCDJzts	Upturning Tornadoes | Explorers in the Field	https://www.youtube.com/watch?v=_ermvCDJzts	environment	physicalsciences	physics	physicalsciences	environment	physicalsciences	biology	lifesciences	2025-07-29T00:18:27.109862	kaatje
National_Geographic_LwwVnUekpeE	Albatrosses' Life-Long Bond Begins With Elaborate Courtship – Ep. 3 | Wildlife: Resurrection Island	https://www.youtube.com/watch?v=LwwVnUekpeE	environment	physicalsciences	biology	lifesciences	biology	lifesciences	biology	lifesciences	2025-07-29T00:20:49.756809	kaatje
Cooking_With_Claudia_LhRKV45nErk	SUPER MOIST Lemon Cupcakes Recipe - How to make the best Lemon Cupcakes	https://www.youtube.com/watch?v=LhRKV45nErk	culinary	culinary	food	lifestyle_wellbeing	culinary	culinary	food	lifestyle_wellbeing	2025-07-29T00:21:30.972251	kaatje
National_Geographic_6LjvUPADFtM	Can We Use Bacteria to Treat Diseases? | Nat Geo Live	https://www.youtube.com/watch?v=6LjvUPADFtM	biology	lifesciences	public_health	lifesciences	neurosci	lifesciences	biology	lifesciences	2025-07-29T00:22:21.659041	kaatje
RottenTomatoes_3b3QfYo5Sm8	Halloween (2018) UNCUT Comic-Con Interview | Rotten Tomatoes	https://www.youtube.com/watch?v=3b3QfYo5Sm8	celebrity-content	arts/culture			movies	movies	talkshows	tv_entertainment	2025-07-29T00:23:58.035454	kaatje
Fox_US_News_qeoq8x9_xDw	Gutfeld: How many wakes are caused by the woke?	https://www.youtube.com/watch?v=qeoq8x9_xDw	domestic-news	news	conspiracy	others	geopolitical-news	news	domestic-news	news	2025-07-29T00:25:19.651388	kaatje
Dope_SPvKoV7g80U	AMERICANS TRY INDIAN SNACKS	https://www.youtube.com/watch?v=SPvKoV7g80U	internet-culture	others	product-reviews	reviews	food	lifestyle_wellbeing	product-reviews	reviews	2025-07-29T00:26:45.386945	kaatje
Facts_YriQwKvrXaw	People Date Whilst Eating The World's Hottest Wings (Carolina Reaper)	https://www.youtube.com/watch?v=YriQwKvrXaw	dating	personal_vlogs	reality-tv	tv_entertainment	dating	personal_vlogs	food	lifestyle_wellbeing	2025-07-29T00:28:43.845070	kaatje
National_Geographic_Uja_QE4cZV0	Stunning Close-ups: Meet These Frogs Before They Go Extinct | National Geographic	https://www.youtube.com/watch?v=Uja_QE4cZV0	environment	physicalsciences			biology	lifesciences	biology	lifesciences	2025-07-29T00:31:06.172009	kaatje
Allure_GTSON1x3rgk	Victoria Monét Breaks Down Her Iconic Music Video Fashion | Allure	https://www.youtube.com/watch?v=GTSON1x3rgk	celebrity-content	arts/culture	fashion	lifestyle_wellbeing	fashion	lifestyle_wellbeing	cosmetics	lifestyle_wellbeing	2025-07-29T00:31:59.986258	kaatje
OxfordUnion_1bGqqBSLCdc	Social Media Does NOT Corrupt Human Interactions | Liam Hackett | Part 4 of 6	https://www.youtube.com/watch?v=1bGqqBSLCdc	computersci	tech/engineering	technology	tech/engineering	internet-culture	others	sociology	socialsciences	2025-07-29T00:33:16.464630	kaatje
